,H013-PiG:LAnkleAngles,,,H013-PiG:LElbowAngles,,,H013-PiG:LHipAngles,,,H013-PiG:LKneeAngles,,,H013-PiG:LShoulderAngles,,,H013-PiG:LThoraxAngles,,,H013-PiG:LWristAngles,,,H013-PiG:RAnkleAngles,,,H013-PiG:RElbowAngles,,,H013-PiG:RHipAngles,,,H013-PiG:RKneeAngles,,,H013-PiG:RShoulderAngles,,,H013-PiG:RSpineAngles,,,H013-PiG:RThoraxAngles,,,H013-PiG:RWristAngles,,
Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg
31,4.6622,8.37768,-30.1364,39.5003,-4.77E-15,1.60E-12,67.6339,-12.0883,29.5697,67.4771,40.0681,15.7276,29.775,19.8216,32.3577,-5.48392,5.18045,172.231,-6.08678,46.7579,111.496,-11.4503,-0.852421,-5.75304,39.6399,7.95E-16,2.89E-13,83.5843,-0.0687877,-7.5452,85.7752,-19.2955,-7.84685,19.0605,18.1938,15.8118,9.42954,-4.56705,-4.55651,-5.48392,-5.18045,-172.231,45.9682,21.6808,40.4259
32,4.66313,8.38055,-30.144,39.5018,-2.39E-15,2.34E-12,67.6322,-12.0902,29.5783,67.4714,40.0788,15.7315,29.7777,19.8221,32.3522,-5.48821,5.18249,172.232,-6.09285,46.754,111.491,-11.4491,-0.851861,-5.74786,39.6416,-3.98E-16,-6.81E-13,83.5845,-0.0694198,-7.54532,85.7754,-19.2949,-7.85165,19.0623,18.1907,15.8055,9.43368,-4.56857,-4.55682,-5.48821,-5.18249,-172.232,45.9753,21.6806,40.4252
33,4.66398,8.38313,-30.1509,39.5035,0,-5.09E-14,67.6306,-12.092,29.5863,67.4661,40.0887,15.7347,29.7806,19.8227,32.3469,-5.49263,5.18473,172.232,-6.0994,46.7505,111.486,-11.448,-0.851301,-5.74267,39.6433,-7.95E-16,-1.37E-12,83.5847,-0.0701509,-7.5455,85.7755,-19.2943,-7.85637,19.0643,18.1879,15.7994,9.43811,-4.57017,-4.55718,-5.49263,-5.18473,-172.232,45.9808,21.6838,40.4247
34,4.66474,8.38545,-30.1572,39.5053,3.18E-15,1.48E-12,67.629,-12.0934,29.5939,67.4611,40.0979,15.7374,29.7837,19.8234,32.3417,-5.49714,5.18716,172.233,-6.1061,46.7472,111.48,-11.4471,-0.850756,-5.73762,39.6452,-3.98E-16,2.09E-12,83.5848,-0.0710001,-7.54572,85.7756,-19.2938,-7.86085,19.0663,18.1854,15.7935,9.44281,-4.57187,-4.5576,-5.49714,-5.18716,-172.233,45.9849,21.6906,40.4247
35,4.6654,8.38754,-30.1627,39.5072,-1.59E-15,1.96E-12,67.6274,-12.0945,29.601,67.4566,40.1064,15.7396,29.7871,19.8241,32.3366,-5.50172,5.18979,172.234,-6.11301,46.7442,111.475,-11.4464,-0.850238,-5.73282,39.6472,-1.19E-15,-6.55E-13,83.5847,-0.0719765,-7.54603,85.7757,-19.2933,-7.86496,19.0684,18.1831,15.7877,9.44777,-4.57366,-4.55809,-5.50172,-5.18979,-172.234,45.9875,21.7009,40.4252
36,4.66597,8.38941,-30.1677,39.5092,2.39E-15,-1.35E-12,67.6258,-12.0954,29.6076,67.4523,40.1142,15.7415,29.7908,19.8248,32.3316,-5.50634,5.19262,172.234,-6.1198,46.7415,111.47,-11.4458,-0.84976,-5.7284,39.6494,2.39E-15,-1.02E-12,83.5845,-0.0730877,-7.54639,85.7759,-19.2928,-7.86857,19.0706,18.1811,15.782,9.45301,-4.57553,-4.55866,-5.50634,-5.19262,-172.234,45.9887,21.7146,40.4262
37,4.66642,8.39106,-30.1722,39.5113,-3.18E-15,5.41E-14,67.6242,-12.0958,29.6138,67.4485,40.1212,15.7431,29.7948,19.8255,32.3267,-5.51095,5.19565,172.234,-6.12641,46.7393,111.466,-11.4453,-0.849337,-5.72448,39.6516,-2.39E-15,2.31E-12,83.5841,-0.0743559,-7.54679,85.7762,-19.2924,-7.87157,19.0727,18.1794,15.7765,9.45846,-4.57753,-4.55931,-5.51095,-5.19565,-172.234,45.9887,21.7315,40.4278
38,4.66678,8.39251,-30.1761,39.5135,7.95E-16,1.08E-12,67.6227,-12.096,29.6194,67.4452,40.1273,15.7444,29.799,19.8263,32.322,-5.51554,5.19888,172.233,-6.13253,46.7376,111.462,-11.445,-0.848978,-5.72115,39.654,7.95E-16,-1.16E-12,83.5837,-0.0757802,-7.54723,85.7766,-19.2921,-7.87387,19.0749,18.1781,15.7711,9.46414,-4.57963,-4.56004,-5.51554,-5.19888,-172.233,45.9876,21.7514,40.43
39,4.66701,8.39376,-30.1794,39.5158,1.59E-15,-6.68E-14,67.6211,-12.0958,29.6244,67.4423,40.1327,15.7455,29.8034,19.8271,32.3174,-5.52007,5.20232,172.233,-6.13828,46.7363,111.458,-11.4447,-0.848691,-5.71849,39.6564,4.37E-15,-1.14E-12,83.5831,-0.0773584,-7.54767,85.7771,-19.2917,-7.87542,19.0771,18.177,15.7658,9.47001,-4.58188,-4.56087,-5.52007,-5.20232,-172.233,45.9855,21.7741,40.4327
40,4.66712,8.39479,-30.1822,39.5181,0,-2.33E-12,67.6195,-12.0952,29.6288,67.4399,40.1371,15.7464,29.8081,19.8279,32.3128,-5.52451,5.20597,172.232,-6.14318,46.7355,111.456,-11.4444,-0.848482,-5.71656,39.6589,1.99E-15,7.19E-13,83.5824,-0.0790998,-7.54811,85.7777,-19.2914,-7.87619,19.0792,18.1763,15.7605,9.47606,-4.58427,-4.5618,-5.52451,-5.20597,-172.232,45.9826,21.7989,40.436
